"skjemanavn";"navn_i_rapporteket";"ledetekst";"obligatorisk";"type";"listeverdier";"listetekst";"normalintervall_start_numerisk";"normalintervall_slutt_numerisk";"maksintervall_start_numerisk";"maksintervall_slutt_numerisk";"normalintervall_start_dato";"normalintervall_slutt_dato";"maksintervall_start_dato";"maksintervall_slutt_dato";"antall_tegn";"lovlige_tegn";"desimaler";"aktiveringsspoersmaal";"underspoersmaal";"innfoert_dato";"utfaset_dato";"tabell";"fysisk_feltnavn";"kommentar";"variabel_id";"hjelpetekst"
"Personopplysninger";;"PID";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;11;1234567890;;"Nei";"Nei";"1980-01-01";"";"patient";"ID";;"PATIENT_ID";"Pasient ID - automatisk løpenummer i databasen."
"Personopplysninger";;"Dato for innhenting av opplysninger";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"'1980-01-01'";"today";;;;"Nei";"Nei";"1980-01-01";"";"patient";"REGISTERED_DATE";;"PATIENT_REGISTERED_DATE";"Skriv inn dato for innhentings tidspunkt for opplysninger. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";;"Personnummertype";"Ja";"Listevariabel";1;"Norsk personnr";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"SSN_TYPE";;"PATIENT_SSN_TYPE";"Personnummertype - velg personnummer for virkelige pasienter eller annet i mangel av sådant."
"Personopplysninger";;"Personnummertype";"Ja";"Listevariabel";2;"Annet";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"SSN_TYPE";;"PATIENT_SSN_TYPE";"Personnummertype - velg personnummer for virkelige pasienter eller annet i mangel av sådant."
"Personopplysninger";;"Personnummertype";"Ja";"Listevariabel";3;"Generert løpenummer";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"SSN_TYPE";;"PATIENT_SSN_TYPE";"Personnummertype - velg personnummer for virkelige pasienter eller annet i mangel av sådant."
"Personopplysninger";;"Personnummertype";"Ja";"Listevariabel";4;"SyntPop nummer";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"SSN_TYPE";;"PATIENT_SSN_TYPE";"Personnummertype - velg personnummer for virkelige pasienter eller annet i mangel av sådant."
"Personopplysninger";;"Personnummer undertype";"Ja";"Listevariabel";"0";"Ikke norsk personnr";"";"";"";"";;;;;;;;"Nei";"Ja";"1980-01-01";"";"patient";"SSNSUBTYPE";;"PATIENT_SSNSUBTYPE";"Personnummer undertype - kun for norkse fødselsnummer"
"Personopplysninger";;"Personnummer undertype";"Ja";"Listevariabel";1;"Folkeregister";"";"";"";"";;;;;;;;"Nei";"Ja";"1980-01-01";"";"patient";"SSNSUBTYPE";;"PATIENT_SSNSUBTYPE";"Personnummer undertype - kun for norkse fødselsnummer"
"Personopplysninger";;"Personnummer undertype";"Ja";"Listevariabel";2;"H-nummer";"";"";"";"";;;;;;;;"Nei";"Ja";"1980-01-01";"";"patient";"SSNSUBTYPE";;"PATIENT_SSNSUBTYPE";"Personnummer undertype - kun for norkse fødselsnummer"
"Personopplysninger";;"Personnummer undertype";"Ja";"Listevariabel";3;"D-nummer";"";"";"";"";;;;;;;;"Nei";"Ja";"1980-01-01";"";"patient";"SSNSUBTYPE";;"PATIENT_SSNSUBTYPE";"Personnummer undertype - kun for norkse fødselsnummer"
